date,News,source
2024-11-13,"고려아연, 일반공모 유상증자 철회",딜사이트
2024-11-13,"[특징주] 고려아연, 2500억 유상증자 계획 철회했지만 6% 급락",이투데이
2024-11-13,"코스피, 장중 2% 하락…삼성전자, 5만1000원도 깨져",이데일리
2024-11-13,"고려아연 이사회, 일반공모 유상증자 철회…""시장·주주 우려, 겸허히 받아들인다""",인포스탁
2024-11-13,"고려아연, 2.5조 유증 철회...MBK와 주총 '표 대결'서 결판",파이낸셜뉴스
2024-11-13,인기검색 20종목,인포스탁
2024-11-13,고려아연 2.5兆 유증 철회에 MBK 이사회 진입 속도[fn마켓워치],파이낸셜뉴스
2024-11-13,"[특징주] ‘유증 철회’ 고려아연, 9% 급락",조선비즈
2024-11-13,"MBK·영풍 “고려아연 유증, 진행되지 말았어야…투명한 거버넌스 확립할 것”",조선비즈
2024-11-13,"MBK·영풍 ""고려아연 유증 애초 진행 말았어야…거버넌스 훼손""",연합뉴스
2024-11-13,"금감원 제동 먹혔나 고려아연, 2.5조 유상증자 철회",인포스탁
2024-11-13,고려아연(주) 주식선물 2단계 가격제한폭 확대요건 도달(하락),파생상품공시
2024-11-13,"최윤범 회장, 고려아연 2.5조 유증 철회…MBK와 표 대결 ‘전면전’ 돌입",헤럴드경제
2024-11-13,"고려아연, 결국 유증 철회…최윤범 회장 직접 입장 밝힌다",인포스탁
2024-11-13,"고려아연 유상증자 철회… ""시장의 우려, 겸허히 수용하겠다""",뉴스핌
2024-11-13,"고려아연, -8.49% VI 발동",조선비즈
2024-11-13,코스피 하락률 상위 20종목(직전 30분 기준),인포스탁
2024-11-13,"고려아연 2.5조 유상증자 철회···최윤범, 기자회견 열고 입장 밝힌다",서울경제
2024-11-13,"유상증자 철회' 고려아연, 주총 표대결 간다… ""승리할 것""(종합)",인포스탁
2024-11-13,"유상증자 철회' 고려아연, 주총 표대결 간다… ""승리할 것""(종합)",인포스탁
2024-11-13,"고려아연, 결국 2.5조 규모 유증 철회…""시장 우려 겸허히 수용"" [종합]",한국경제
2024-11-13,▶▶ 급락장? 우린 그런거 몰라요! 상한가 속출!,헤럴드경제
2024-11-13,"고려아연, 일반공모 유상증자 철회...""부정 의견 지속되는 상황""",뉴스핌
2024-11-13,"고려아연, 유상증자 철회… ""시장·주주 우려 받아들이기로""(상보)",인포스탁
2024-11-13,"[공시] ‘유증 사태’ 불러온 고려아연, 결국 철회",인포스탁
